자료명,저자,출판사,출판년도,소장처
상산고 아이들은 다른 길을 찾는다,김종서 [외지음],즐거운책,2007,자료실
한국 현대 소설과 섹슈얼리티,김윤선 지음,월인,2006,자료실
"나를 괴롭히는 문제,기발하게 해결하기",루이스 바스 지음;아니타 바스 지음;이은주 옮김,흐름,2005,자료실
시와 진실,요한 볼프강 폰 괴테 지음;윤용호 옮김,종문화사,2006,자료실
독일 여성운동사,로제마리 나베-헤르츠 지음;이광숙 옮김,지혜로,2006,자료실
한나의 딸들. 1,마이안네 프레드릭쏜 지음;구승모 역,종문화사,1998,자료실
시적 인간과 생태적 인간,김종철 지음,삼인,2003,자료실
글로벌 시대의 문학,김성곤 지음,민음사,2006,자료실
세계는 지금 어디로 가고 있나. 1,이케가미 아키라 지음; 민성원 옮김,종문화사,2004,자료실
소설을 어떻게 볼 것인가,권택영 [지음],문예출판사,1995,자료실
中國에도 全州가 있다,송기윤 지음,두인,2002,자료실
알기쉬운 IT용어집,한국정보통신기술협회 지음,한국정보통신기술협회,2006,자료실
모악에 머물다,송하진 지음,두인,2006,자료실
마음에 시 한 편,박은서 엮음,주변인의 길,2003,자료실
사랑할 수 있는 사람은 행복하다,폴커 미헬스,종문화사,2003,자료실
편지로 읽는 독일·독일인,김충완 엮음,종문화사,2004,자료실
연인에게 이르는 길,헤르만 헤세 지음;송용구 옮김,종문화사,2001,자료실
첫사랑,슈토름 테오도르 지음;윤용호 옮김,종문화사,2002,자료실
환상 단편집. 2,헤르만 헤세 지음;김양훈 옮김,종문화사,2005,자료실
환상단편집. 1,헤르만 헤세 [지음]; 피종호[옮김],종문화사,2003,자료실
백제의 영역 변천,임영진 지음,주류성,2006,자료실
백제의 역사,이기동 저,주류성,2006,자료실
백제의 민속,송화섭 지음,주류성,2006,자료실
백제 사찰건축의 조형과 기술,이왕기 저,주류성,2006,자료실
백제의 정신세계,김두진 저,주류성,2006,자료실
목간이 들려주는 백제 이야기,윤선태,주류성,2007,자료실
백제 멸망의 진실,양종국 지음,주류성,2004,자료실
백제토기 탐구,박순발 저,주류성,2006,자료실
백제의 신화와 제의,최광식 저,주류성,2006,자료실
백제의 철기문화,손명조 지음,주류성,2007,자료실
사료를 보니 백제가 보인다,정재윤 저,주류성,2007,자료실
백제의 전쟁,김수태 지음,주류성,2007,자료실
